participant_id,session_id,fatigue_level,muse_eeg_alpha_TP9_mean,muse_eeg_alpha_TP9_std,muse_eeg_alpha_AF7_mean,muse_eeg_alpha_AF7_std,muse_eeg_alpha_AF8_mean,muse_eeg_alpha_AF8_std,muse_eeg_alpha_TP10_mean,muse_eeg_alpha_TP10_std,muse_eeg_beta_TP9_mean,muse_eeg_beta_TP9_std,muse_eeg_beta_AF7_mean,muse_eeg_beta_AF7_std,muse_eeg_beta_AF8_mean,muse_eeg_beta_AF8_std,muse_eeg_beta_TP10_mean,muse_eeg_beta_TP10_std,wrist_hr_hr_mean,wrist_hr_hr_std,wrist_eda_eda_mean,wrist_eda_eda_std
01,01,Low,0.6347305283721653,0.3463959850413293,0.28490815305802797,0.27058461298368575,0.21113891662880202,0.22807074464615182,0.44371251529293254,0.3709902445862946,0.5309216483332068,0.2400865393147933,0.34862992576303015,0.1359981312883969,0.3304621872482046,0.19202161344140214,0.44192342702813725,0.1754187322508701,65.74352754908169,16.00999519572121,0.09675041184856643,0.009940612482175573
01,02,Medium,0.6150143237675813,0.545801680580546,0.27738104019213133,0.24237824854009177,0.3327574543390051,0.24499169274612437,0.7717183654615033,0.49754127322801156,0.5599756914880181,0.38357556987568703,0.6549460948209234,0.30893132295114073,0.68602889409418,0.31262196255469193,0.6806202635223524,0.334029872891371,79.06216417910447,18.020431515280745,0.605584595300261,0.8618319944554022
01,03,High,0.5852214776194377,0.34183436292612224,0.3186881556249664,0.27971113874844067,0.22200862918623748,0.2527566310621252,0.5980431145956103,0.5107847126072681,0.584191858482359,0.3023001974868117,0.6949966411263531,0.5366384128202805,0.5265232758157237,0.30237183780707416,0.6608697829309227,0.3441220680290071,76.37259063444108,9.495049257572166,0.5254096030217186,0.617306176397596
02,01,Low,0.7792925568050363,0.3494446185039635,0.15524450779980636,0.2728511971984897,0.3076004461487725,0.25386815108009214,0.9272480312522866,0.2834967167016536,0.603564983622433,0.23922660590635594,0.06122858107634544,0.15254236080781483,-0.08495581261462154,0.13011582618728976,0.7655515581916351,0.23412201412648884,65.25793209876544,2.719765238973296,0.15412076429675425,0.018938048361051625
02,03,Medium,0.7475550903588067,0.46390152592081263,0.18894298854871328,0.25320032107904605,0.24278696024348248,0.23928400537016525,0.559813066769814,0.31247653087605193,0.5359682861826542,0.26750699418600365,0.09665521493540785,0.11616682010474265,-0.07666504827115533,0.11148826146588539,0.3558373747532161,0.19183019576590987,91.24849697885196,12.884441921161907,0.1736458856980918,0.025623674914395884
02,02,High,0.8344861795274712,0.4005987845381775,0.31553785310648236,0.2902374949126122,0.30834792586166543,0.3051942701556593,0.7652971118459476,0.40561596375262776,0.5646578363342742,0.28649187919266794,0.001864337668479705,0.1698711324562915,-0.020667835288945134,0.19639714497762856,0.4585060982652561,0.288101019389936,100.44130434782608,22.656792479994284,2.0348879514066494,2.038851576376588
03,02,Low,0.3473274635761857,0.37406831215678726,0.30669000165570043,0.4366611931403105,0.45165830437176396,0.4417693240107274,0.36317984824088945,0.3920543941044301,0.28045768644469654,0.27448720094427936,0.12636186233212124,0.22438598279664576,0.08174346675883674,0.18236319437079673,0.29056323964299446,0.28886488264699994,83.95622907488988,12.972263466860795,1.2084524294843546,0.4027685272374133
03,03,Medium,0.6967604598357604,0.37021220171653135,0.4054191668661407,0.34412475369385265,0.39923735404146465,0.36943464097308104,0.8181811595447951,0.5153117958146959,0.7575299753745118,0.35216065567517185,0.42864096984800765,0.19342094134818924,0.17485878757569,0.22927949359797653,0.7012028935290102,0.25590360509376714,89.90348987108656,19.751375724666573,0.5058551137724551,0.20209078621953822
03,01,High,0.6619419788446177,0.3864870849796413,0.39026409668108886,0.32937390826772717,0.5255494675655595,0.33474737897236423,0.6335069912054297,0.5399231923017559,0.5587225322095065,0.15779679190478824,0.25436922902600967,0.2565417226804318,0.14754275689170826,0.3346180608841139,0.6021734567342462,0.29416740780207057,109.03847555923778,24.217881870997775,0.7391822623834197,0.4165620089355201
04,03,Low,0.9660546099958659,0.28216521942313144,0.18917179598939385,0.18791623356282666,0.1801528642178702,0.22042055385169823,1.3680587667726165,0.42407387468612856,0.6738015290263087,0.28160134201044157,0.03246801342629535,0.1435580065886388,0.02440806132683253,0.25512029136554415,1.031097917846108,0.42162229239614435,74.0778425925926,6.342668333422789,0.20695337285780455,0.027826100423200405
04,02,Medium,0.9678259073859811,0.45517483989388674,0.5013237229975556,0.6905557836117877,0.4590511776862098,0.5601781408178884,0.9911179842377328,0.4619471564145415,0.649737780226514,0.36648484225638284,0.44726278078059717,0.4152539151978932,0.33442735228293813,0.34362632364545836,0.6817118987390054,0.31204457296066895,95.85400550584997,30.259201044586735,0.3601939882940265,0.05451157058206592
04,01,High,,,,,,,,,,,,,,,,,74.73334163036714,9.803336228936919,0.41509074583657585,0.11662883304404643
05,03,Low,0.5261273845067315,0.5917687713492829,0.4603260915607395,0.18986632530447087,0.5112544898177374,0.2818653384416635,0.7632670891811982,0.4819485019802386,0.404438746071932,0.4010623813724012,0.35604532731528415,0.1081129455715936,0.3003928595127543,0.1276728886330915,0.5489434032839001,0.30327552228330706,81.66339370829361,11.450561784878134,0.09819234970202623,0.01946624396452255
05,01,Medium,0.9618320941618952,0.605614074049736,0.49717978728447404,0.2032580455744923,0.34341491507624244,0.2511654168388216,0.9358382811009338,0.3165109812426119,0.6780877969718219,0.44533952733671833,0.4493340445257096,0.19010706136391328,0.20799769302016266,0.2745464641801672,0.615691849335465,0.16822052050900313,75.28981966259454,9.384615145153258,0.14549323134002617,0.04291557964771924
05,02,High,0.8659668859072731,0.5073622083826116,0.24491462036193248,0.19813028295821963,0.37466298872400794,0.2226184531448506,0.8821884344650044,0.5329782068609188,0.5953435033738624,0.3178081470163077,0.5498146957950274,0.3949848041075111,0.2901352376642712,0.19516509063560536,0.549286452043622,0.2896962918392683,77.50488536155203,10.614339039000996,0.3358729711071901,0.3322876644789831
06,02,Low,0.6986218382102939,0.22857742715982732,0.3600072187612872,0.33152619287711566,0.4317531370990485,0.2553544528484392,0.7219016264338128,0.4474489290468933,0.5973360792856786,0.13901086564155524,0.2514633581330113,0.3095493460529642,0.2737548676491445,0.3022061516952812,0.41167524686810536,0.31225003130523016,79.28751811594202,15.436008290646287,0.5263418358276644,0.02252202848855067
06,01,Medium,0.5458679213189825,0.3739750644884296,0.7935927423537,0.5665243941946047,0.6555534495666926,0.47577532238572007,0.6176423125724289,0.33668365033209763,0.4479188843156802,0.2894029798924088,0.4235295269634566,0.39635758624317685,0.5031741487205386,0.34301886594402203,0.4535895495691085,0.23313644031460043,81.6576015037594,16.306089088005503,0.4236046166854567,0.054344742514688495
06,03,High,0.6593339083146638,0.23038859504425363,0.5641482903294132,0.4090979840098781,0.5759271871587757,0.3354043561899248,0.5625336919867661,0.2668838561443984,0.476310306443864,0.13279991668584737,0.36355981149584343,0.29776524737181115,0.3160624894627696,0.2184805934749448,0.2764814441245822,0.15092047635428055,87.63475881261596,29.192154484738,1.2104864304943141,0.7821673475018358
07,01,Low,0.593218283129625,0.6578320907874894,0.4362702410214871,0.5258287610796879,0.3968339454823998,0.3867480624535061,0.9125220399760172,0.7205166378966804,0.5073739553499824,0.49319546889759774,0.2312194058141155,0.4106362907322597,0.14684655466377006,0.27863592981788626,0.8124537639922242,0.6655439779984357,90.28068461538462,11.262276288494144,0.6570631960369372,0.3531674670592094
